representation,model,weighting,seed,repeat,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,precision_IE,recall_IE,f1_IE,precision_Early,recall_Early,f1_Early,precision_Late,recall_Late,f1_Late
Physicochemical,SVM_Linear,Class_Balanced,123,2,3,0.7333333333333333,0.8787878787878788,0.6666666666666666,0.8787878787878788,0.7037037037037037,0.7481481481481481,0.6014167670256413,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,0.6363636363636364,0.7777777777777778
Physicochemical,SVM_Linear,Class_Balanced,123,2,4,0.5333333333333333,0.6262626262626262,0.48333333333333334,0.6262626262626262,0.5160818713450293,0.5576023391812865,0.13466054463872648,0.5,1.0,0.6666666666666666,0.2,0.3333333333333333,0.25,0.75,0.5454545454545454,0.631578947368421
Physicochemical,SVM_Linear,Class_Balanced,123,2,5,0.5714285714285714,0.4222222222222222,0.3833333333333333,0.4222222222222222,0.38888888888888884,0.5833333333333333,0.16757831697804315,0.0,0.0,0.0,0.4,0.6666666666666666,0.5,0.75,0.6,0.6666666666666666
Physicochemical,SVM_Linear,Class_Balanced,456,3,1,0.4666666666666667,0.5959595959595959,0.4158730158730159,0.5959595959595959,0.4351851851851852,0.49074074074074076,0.08655494824115181,0.3333333333333333,1.0,0.5,0.2,0.3333333333333333,0.25,0.7142857142857143,0.45454545454545453,0.5555555555555556
Physicochemical,SVM_Linear,Class_Balanced,456,3,2,0.4666666666666667,0.5151515151515151,0.38888888888888884,0.5151515151515151,0.4222222222222222,0.48444444444444446,-0.07409948978045726,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.5454545454545454,0.6
Physicochemical,SVM_Linear,Class_Balanced,456,3,3,0.4666666666666667,0.5959595959595959,0.4603174603174603,0.5959595959595959,0.48148148148148145,0.4962962962962963,0.0707549137677225,0.5,1.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.45454545454545453,0.5555555555555556
Physicochemical,SVM_Linear,Class_Balanced,456,3,4,0.4666666666666667,0.6767676767676768,0.5166666666666667,0.6767676767676768,0.51010101010101,0.48383838383838385,0.21545687142196238,0.5,1.0,0.6666666666666666,0.25,0.6666666666666666,0.36363636363636365,0.8,0.36363636363636365,0.5
Physicochemical,SVM_Linear,Class_Balanced,456,3,5,0.7142857142857143,0.7888888888888888,0.7583333333333333,0.7888888888888888,0.7592592592592592,0.7341269841269842,0.46084037168961867,1.0,1.0,1.0,0.4,0.6666666666666666,0.5,0.875,0.7,0.7777777777777778
Physicochemical,SVM_Linear,Class_Balanced,789,4,1,0.6,0.8181818181818182,0.7777777777777777,0.8181818181818182,0.7083333333333334,0.625,0.49374011422678865,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.45454545454545453,0.625
Physicochemical,SVM_Linear,Class_Balanced,789,4,2,0.6,0.6565656565656566,0.5092592592592592,0.6565656565656566,0.5507936507936507,0.6149206349206349,0.20377359689625746,0.5,1.0,0.6666666666666666,0.25,0.3333333333333333,0.2857142857142857,0.7777777777777778,0.6363636363636364,0.7
Physicochemical,SVM_Linear,Class_Balanced,789,4,3,0.5333333333333333,0.32323232323232326,0.3444444444444444,0.32323232323232326,0.3333333333333333,0.5555555555555555,-0.009746014694818131,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7,0.6363636363636364,0.6666666666666666
