representation,method,K,silhouette,CH,DB,ARI,NMI,purity,stability_ARI_mean,stability_ARI_SD,cluster_size_min,cluster_size_max,cluster_balance_warning
Combined_Equal_Block,Hierarchical_Ward,8,0.0824828604623013,5.669232478298204,1.920208944673172,0.0745114292853648,0.2413379723812163,0.7972972972972973,1.0,0.0,1,19,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Ward,9,0.0865143298950779,5.420082525060163,1.7361280383359576,0.0721790161649207,0.2382686807088843,0.7972972972972973,1.0,0.0,1,19,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Ward,10,0.0854432738703533,5.218563887862896,1.6197682136165945,0.07039185782067,0.2376451117170113,0.7972972972972973,1.0,0.0,1,19,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,2,0.2890055726823812,2.877334538560026,0.5619816571237518,-0.0192459305291471,0.0106357647648761,0.7297297297297297,1.0,0.0,1,73,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,3,0.2229180666816992,2.7598903844320577,0.582479248062631,0.0272029215923937,0.0592918187157431,0.7432432432432432,1.0,0.0,1,72,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,4,0.210749680458848,3.09835331591232,0.972893079404055,0.0520431185760842,0.0675134290304966,0.7432432432432432,1.0,0.0,1,70,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,5,0.2001893493388889,2.7693010949981978,0.5815734668676787,0.0529936583257026,0.1029808912086333,0.7567567567567568,1.0,0.0,1,70,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,6,0.1706006329599367,2.729224443561566,0.588674125075397,0.0334802329934999,0.1037205791732536,0.7567567567567568,1.0,0.0,1,69,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,7,0.1479983590368667,2.673723378057809,0.5982851879398853,0.014992170586244,0.1045066819446488,0.7567567567567568,1.0,0.0,1,68,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,8,0.1115824448126752,2.610749995271456,0.6094783575180311,-0.0025017780321299,0.1053357679417783,0.7567567567567568,1.0,0.0,1,67,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,9,0.0956432070757128,2.765369570881287,0.7261338986651104,-0.0339409442085616,0.1085957486339701,0.7567567567567568,1.0,0.0,1,65,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,10,0.095331331030327,3.0300439959215986,0.8146941662808723,0.0524327319108152,0.1671983319778147,0.7702702702702703,1.0,0.0,1,62,SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,2,0.1376265147316699,5.665883787674306,2.260682989016201,-0.0002538533444431,0.0781911217163974,0.7297297297297297,1.0,0.0,9,65,NONE
Combined_Equal_Block,Hierarchical_Complete,3,0.1313300760270324,4.197527450262571,1.7049784927388616,0.0359902460830482,0.1078677628129889,0.7432432432432432,1.0,0.0,1,64,SINGLETON_DOMINATED
